time,action,target_distance,origin_distance,velocity.north,velocity.east,velocity.down,battery,current_lat,current_lon,current_alt,origin_lat,origin_lon,origin_alt,target_lat,target_lon,target_alt,onWater,bad_connection,is_armed,goals,scenario_name
04:53:35,,,,,,,,,,,-3.7864655,-38.5530573,0.07300000637769699,-3.7867,-38.551971,5,,,False,,
04:53:36,,123.23978486963813,0.07766653925813055,0.019999999552965164,0.0,0.009999999776482582,,-3.7864655,-38.5530566,0.1,-3.7864655,-38.5530573,0.07300000637769699,-3.7867,-38.551971,5,,,False,,
04:53:37,,123.22045047848187,0.10047417293550448,0.019999999552965164,0.0,0.009999999776482582,,-3.7864654,-38.5530565,0.2,-3.7864655,-38.5530573,0.07300000637769699,-3.7867,-38.551971,5,,False,False,,
04:53:38,,123.26004648288296,0.0800626655856955,0.019999999552965164,0.0,0.009999999776482582,100.0,-3.7864651,-38.5530567,0.2,-3.7864655,-38.5530573,0.07300000637769699,-3.7867,-38.551971,5,,False,False,,
04:53:39,,123.33359590898445,0.03515525509400581,0.019999999552965164,0.0,0.009999999776482582,100.0,-3.7864652,-38.5530574,0.2,-3.7864655,-38.5530573,0.07300000637769699,-3.7867,-38.551971,5,,False,False,,
04:53:40,,123.37697132389748,0.06473318810453217,0.019999999552965164,0.0,0.009999999776482582,100.0,-3.7864652,-38.5530578,0.3,-3.7864655,-38.5530573,0.07300000637769699,-3.7867,-38.551971,5,,False,False,,Arm
04:53:41,,123.32183838289386,0.024853095903819074,0.019999999552965164,0.0,0.009999999776482582,100.0,-3.7864657,-38.5530574,0.1,-3.7864655,-38.5530573,0.07300000637769699,-3.7867,-38.551971,5,,False,True,,TakeOff
04:53:42,,123.28080996257327,0.03509384959710587,0.019999999552965164,0.0,0.009999999776482582,99.0,-3.7864655999999997,-38.553056999999995,-0.0,-3.7864655,-38.5530573,0.07300000637769699,-3.7867,-38.551971,5,,False,True,,TakeOff
04:55:21,,,,,,,,,,,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,,False,,
04:55:22,,123.28841323148498,0.05551982075289982,-0.009999999776482582,0.009999999776482582,0.019999999552965164,,-3.7864662,-38.5530572,-0.1,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,,False,,
04:55:23,,123.25500808946381,0.09168192345218754,-0.009999999776482582,0.009999999776482582,0.019999999552965164,,-3.7864666999999996,-38.553056999999995,-0.2,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,False,False,,
04:55:24,,123.26585479498522,0.09497944306132779,0.0,0.009999999776482582,0.019999999552965164,100.0,-3.7864666999999996,-38.5530571,-0.3,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,False,False,,
04:55:25,,123.26437717065193,0.049706191449966144,0.0,0.009999999776482582,0.019999999552965164,100.0,-3.7864663,-38.553056999999995,-0.4,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,False,False,,
04:55:26,,123.26672183731266,0.04006499281604743,0.0,0.009999999776482582,0.019999999552965164,100.0,-3.7864662,-38.553056999999995,-0.3,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,False,False,,Arm
04:55:27,,123.29075844391379,0.04964106071306326,0.0,0.009999999776482582,0.019999999552965164,100.0,-3.7864660999999997,-38.5530572,0.1,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,False,True,,TakeOff
04:55:28,,123.28460664329931,0.033285659216183545,0.0,0.009999999776482582,0.019999999552965164,99.0,-3.7864658999999996,-38.5530571,0.0,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,False,True,,TakeOff
04:55:29,,123.2426855422678,0.04447797068379272,0.0,0.009999999776482582,0.019999999552965164,99.0,-3.7864663,-38.5530568,0.0,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,False,True,,TakeOff
04:55:30,,123.28138334414344,0.08012998602336466,0.0,0.009999999776482582,0.019999999552965164,96.0,-3.7864665,-38.5530572,0.7,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,False,True,,TakeOff
04:55:31,,123.34029926946826,0.10931471087685911,0.0,0.009999999776482582,0.019999999552965164,96.0,-3.7864663,-38.5530577,2.5,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,False,True,,TakeOff
04:55:32,,123.23183979429878,0.045840961846076854,0.0,0.009999999776482582,0.019999999552965164,93.0,-3.7864663,-38.5530567,3.3,-3.7864658999999996,-38.5530568,-0.05900000408291817,-3.7867,-38.551971,5,,False,True,,TakeOff
04:55:54,,,,,,,,,,,-3.7864647,-38.5530566,-0.27000001072883606,-3.7867,-38.551971,5,,,False,,
04:55:55,,123.24684722615794,0.05559746333005067,0.03999999910593033,0.009999999776482582,0.05999999865889549,100.0,-3.7864652,-38.5530566,-0.3,-3.7864647,-38.5530566,-0.27000001072883606,-3.7867,-38.551971,5,,,False,,
04:55:56,,123.23978486963813,0.08895594131820497,0.03999999910593033,0.009999999776482582,0.05999999865889549,100.0,-3.7864655,-38.5530566,-0.3,-3.7864647,-38.5530566,-0.27000001072883606,-3.7867,-38.551971,5,,False,False,,
04:55:57,,123.2233395828904,0.166792389990152,0.03999999910593033,0.009999999776482582,0.05999999865889549,100.0,-3.7864662,-38.5530566,-0.3,-3.7864647,-38.5530566,-0.27000001072883606,-3.7867,-38.551971,5,,False,False,,
04:56:36,,,,,,,,,,,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,,False,,
04:56:37,,123.33648628464566,0.022190439212104868,-0.009999999776482582,0.0,0.04999999701976776,,-3.786466,-38.553057599999995,-0.3,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,,False,,
04:56:38,,123.29691494725003,0.03515525509076992,-0.009999999776482582,0.0,0.04999999701976776,,-3.7864663,-38.5530573,-0.3,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,False,,
04:56:39,,123.2596907128503,0.07113888133261702,-0.009999999776482582,0.0,0.04999999701976776,100.0,-3.7864665,-38.553056999999995,-0.3,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,False,,
04:56:40,,123.32945312223565,0.04006499277351313,-0.009999999776482582,-0.009999999776482582,0.04999999701976776,100.0,-3.7864663,-38.553057599999995,-0.4,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,False,,
04:56:41,,123.31392262324216,0.05669375481936982,-0.009999999776482582,-0.009999999776482582,0.04999999701976776,100.0,-3.7864665,-38.5530575,-0.4,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,False,,Arm
04:56:42,,123.27991293094477,0.03509384957887216,-0.019999999552965164,-0.009999999776482582,0.04999999701976776,100.0,-3.7864660999999997,-38.5530571,0.0,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,True,,TakeOff
04:56:43,,123.32798731066157,0.015708183366518375,-0.019999999552965164,-0.009999999776482582,0.04999999701976776,99.0,-3.7864658999999996,-38.5530575,-0.0,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,True,,TakeOff
04:56:44,,123.34967791043435,0.035093848850422237,-0.019999999552965164,-0.009999999776482582,0.04999999701976776,99.0,-3.7864658999999996,-38.5530577,-0.1,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,True,,TakeOff
04:56:45,,123.27522305181424,0.047124550024212855,-0.019999999552965164,-0.009999999776482582,0.04999999701976776,96.0,-3.7864663,-38.5530571,0.8,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,True,,TakeOff
04:56:46,,123.27756751219395,0.0400313331087465,-0.019999999552965164,-0.009999999776482582,0.04999999701976776,96.0,-3.7864662,-38.5530571,2.9,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,True,,TakeOff
04:56:47,,123.34498667425635,0.03509384883112928,-0.019999999552965164,-0.009999999776482582,0.04999999701976776,93.0,-3.7864660999999997,-38.5530577,3.9,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,True,,TakeOff
04:56:48,,123.30014887534617,0.040064993214415597,-0.019999999552965164,-0.009999999776482582,0.04999999701976776,93.0,-3.7864657,-38.5530572,4.3,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,True,,TakeOff
04:56:49,,123.21162171070908,0.11805576066621956,-0.019999999552965164,-0.009999999776482582,0.04999999701976776,90.0,-3.7864666999999996,-38.5530566,4.5,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,True,,TakeOff
04:56:50,,122.98532692064614,0.3338776393553375,-0.019999999552965164,-0.009999999776482582,0.04999999701976776,90.0,-3.7864671,-38.553054599999996,4.7,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,True,,Flying
04:56:51,,120.25279776763578,3.0620240087587236,-0.019999999552965164,-0.009999999776482582,0.04999999701976776,86.0,-3.7864717,-38.5530304,4.8,-3.786466,-38.5530574,-0.25,-3.7867,-38.551971,5,,False,True,,Flying
04:57:37,,,,,,,,,,,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,,False,,
04:57:38,,123.30541807793676,0.022238985292515893,0.0,0.0,0.019999999552965164,,-3.7864663999999997,-38.5530574,0.0,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,,False,,
04:57:39,,123.2596907128503,0.05551982134112985,0.0,0.0,0.019999999552965164,,-3.7864665,-38.553056999999995,-0.0,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,False,,
04:57:40,,123.27991293094477,0.035093849590871626,0.0,0.0,0.019999999552965164,100.0,-3.7864660999999997,-38.5530571,-0.1,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,False,,
04:57:41,,123.25207161092705,0.07446159142963082,0.0,-0.009999999776482582,0.019999999552965164,100.0,-3.7864658999999996,-38.5530568,-0.1,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,False,,
04:57:42,,123.21339262988435,0.1241026528345628,0.0,-0.009999999776482582,0.019999999552965164,100.0,-3.7864657,-38.553056399999996,0.0,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,False,,Arm
04:57:43,,123.20019739482878,0.12989943117874686,0.0,-0.009999999776482582,0.019999999552965164,100.0,-3.7864657999999998,-38.5530563,0.0,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,TakeOff
04:57:44,,123.21953697874724,0.10528154802016601,0.0,-0.009999999776482582,0.019999999552965164,99.0,-3.7864658999999996,-38.5530565,0.0,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,TakeOff
04:57:45,,123.1691127652977,0.1442378583929922,0.0,-0.009999999776482582,0.029999999329447746,99.0,-3.7864662,-38.5530561,0.0,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,TakeOff
04:57:46,,123.25207161092705,0.07446159142963082,0.0,-0.009999999776482582,0.029999999329447746,96.0,-3.7864658999999996,-38.5530568,0.9,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,TakeOff
04:57:47,,123.24920326145694,0.15112732074412982,0.0,-0.009999999776482582,0.029999999329447746,96.0,-3.7864651,-38.5530566,2.7,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,TakeOff
04:57:48,,123.23129423195282,0.13373322623083905,0.0,-0.009999999776482582,0.029999999329447746,93.0,-3.7864654,-38.5530565,3.6,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,TakeOff
04:57:49,,123.25533578493084,0.1266774794898841,0.0,-0.009999999776482582,0.029999999329447746,93.0,-3.7864652999999997,-38.5530567,4.1,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,TakeOff
04:57:50,,123.18178759650715,0.19103056557822343,0.0,-0.009999999776482582,0.029999999329447746,90.0,-3.7864652,-38.553056,4.4,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,TakeOff
04:57:51,,123.22280501167592,0.14941714429939668,0.0,-0.009999999776482582,0.029999999329447746,90.0,-3.7864652999999997,-38.553056399999996,4.6,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,TakeOff
04:57:52,,122.86546319887144,0.45490401517431783,0.0,-0.009999999776482582,0.029999999329447746,87.0,-3.7864662,-38.553053299999995,4.6,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:57:53,,120.12265897974133,3.1880613582911566,0.0,-0.009999999776482582,0.03999999910593033,87.0,-3.7864717,-38.5530292,4.7,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:57:54,,115.48511738915425,7.825466312573756,0.0,-0.009999999776482582,0.03999999910593033,83.0,-3.7864804,-38.5529876,4.7,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:57:55,,110.72267513855601,12.587554109159065,0.0,-0.009999999776482582,0.03999999910593033,83.0,-3.7864896,-38.552946399999996,4.7,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:57:56,,106.04882058446829,17.26174492648799,0.0,-0.009999999776482582,0.03999999910593033,80.0,-3.7864978999999996,-38.5529051,4.7,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:57:57,,101.18785603172422,22.122319229317597,0.0,-0.009999999776482582,0.03999999910593033,80.0,-3.7865077,-38.552862399999995,4.8,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:57:58,,96.46092578640089,26.849326908051093,0.0,-0.009999999776482582,0.03999999910593033,77.0,-3.7865178,-38.552821,4.8,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:57:59,,91.56158036549836,31.74856755996638,0.0,-0.009999999776482582,0.03999999910593033,77.0,-3.786526,-38.5527776,4.8,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:00,,86.75902969399091,36.55123703241636,0.0,-0.009999999776482582,0.03999999910593033,73.0,-3.7865347,-38.5527352,4.8,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:01,,81.79577168009553,41.59495040619654,0.0,-0.009999999776482582,0.03999999910593033,73.0,-3.7865449,-38.5526909,4.8,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:02,,76.72263221753813,46.58748455188405,0.0,-0.009999999776482582,0.03999999910593033,70.0,-3.7865542999999997,-38.5526469,4.9,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:03,,71.84560093894726,51.46453478730861,0.0,0.0,0.03999999910593033,70.0,-3.7865634,-38.5526039,4.9,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:04,,67.02044358950825,56.289683857900044,0.0,0.0,0.03999999910593033,67.0,-3.7865726,-38.552561399999995,4.8,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:05,,62.09768818950943,61.21246120970607,0.0,0.0,0.03999999910593033,67.0,-3.7865818,-38.552518,4.8,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:06,,57.147643199720626,66.16246221050551,0.0,0.0,0.03999999910593033,63.0,-3.7865917,-38.552474499999995,4.8,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:07,,52.279104989766225,71.03099992448469,0.0,0.0,0.03999999910593033,63.0,-3.7866011,-38.5524309,4.8,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:08,,47.2719343912254,76.03820097082581,0.0,0.0,0.03999999910593033,60.0,-3.78661,-38.5523874,4.8,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:09,,42.40719196003377,80.90291492989482,0.0,0.0,0.03999999910593033,60.0,-3.7866195,-38.5523446,4.8,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:10,,37.56269434669596,85.74741848657011,0.0,0.0,0.03999999910593033,57.0,-3.7866286,-38.552301899999996,4.8,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:11,,32.66542665611782,90.64467846944395,0.0,0.0,0.03999999910593033,57.0,-3.7866381,-38.5522588,4.8,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:12,,27.681399164252912,95.62870780204784,0.0,0.0,0.03999999910593033,53.0,-3.7866476,-38.552214899999996,4.9,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:13,,22.880281013914864,100.42982610428874,0.0,0.0,0.03999999910593033,53.0,-3.7866568999999997,-38.5521716,4.9,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:14,,17.940538481545723,105.36960042996594,0.0,0.0,0.03999999910593033,51.0,-3.7866657,-38.552129,4.9,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:15,,12.881290023060767,110.42896820238462,0.0,0.0,0.03999999910593033,51.0,-3.7866760999999998,-38.5520846,4.9,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:16,,8.14543815981595,115.16501865505413,0.0,0.0,0.04999999701976776,50.0,-3.7866853999999996,-38.552042,4.9,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:17,,4.646088619541273,118.66495956216006,0.0,0.0,0.04999999701976776,50.0,-3.786692,-38.5520121,4.9,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:18,,2.537710755606635,120.77370336014847,0.0,0.0,0.04999999701976776,50.0,-3.7866959,-38.5519935,4.9,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:19,,1.2059905288134636,122.10418411722311,0.0,0.0,0.04999999701976776,50.0,-3.7866975999999997,-38.5519816,4.9,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:20,,0.49834137035698767,122.81178961839512,0.0,0.0,0.04999999701976776,50.0,-3.7866991,-38.551975299999995,4.9,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
04:58:21,,0.12410262536200783,123.18992885539154,0.0,0.0,0.04999999701976776,50.0,-3.7866994999999997,-38.551972,4.9,-3.7864662,-38.5530574,0.04500000178813934,-3.7867,-38.551971,5,,False,True,,Flying
